artist,album_title,year,track_count,art_url
múm,Summer Make Good,2004,12,https://coverartarchive.org/release/f444f91d-42b4-428e-ba9c-1996ae02ae9d/front-250
DJ Hell,NY Muscle,2003,12,https://coverartarchive.org/release/2e0021ca-86ec-4d5b-99d1-2c188661c1b3/front-250
Juggy D,Juggy D,2004,11,https://coverartarchive.org/release/302079e8-2473-45dd-91af-5b7698b8af1e/front-250
theSTART,Initiation,2004,12,https://coverartarchive.org/release/ea982097-98d6-4ca5-a150-d6f9d9c0eb2f/front-250
Bloc Party,Silent Alarm,2005,13,https://coverartarchive.org/release/b7df14fc-81c2-45ef-9ace-d3f4d074fcb6/front-250
Ben & Jason,Goodbye,2003,9,https://coverartarchive.org/release/7d3b742e-b799-4f1b-9246-11689fe1524b/front-250
múm,Yesterday Was Dramatic – Today Is OK,2000,10,https://coverartarchive.org/release/b79bef89-c8cb-3ee0-b13a-ac9479ea54c6/front-250
theSTART,Shakedown!,2001,11,https://coverartarchive.org/release/bd01e816-af45-46eb-b412-c8abfcdb7288/front-250
Spiderbait,Tonight Alright,2004,12,https://coverartarchive.org/release/2807803f-f6d2-498c-84d8-9efec28ddf0a/front-250
The Superjesus,Rock Music,2003,11,https://coverartarchive.org/release/9f6029b1-0709-4e44-a26a-5ea2da04d464/front-250
múm,Finally We Are No One,2002,11,https://coverartarchive.org/release/738f5cb9-8250-49d8-b569-9f07abcec875/front-250
Spiderbait,The Flight of Wally Funk,2001,18,https://coverartarchive.org/release/7ad12037-c209-4633-aac2-df273a8d63b4/front-250
Reel Big Fish,Why Do They Rock So Hard?,2001,17,https://coverartarchive.org/release/0546dcc1-2e46-4454-8fb3-3b3f4eea58a5/front-250
Garbage,Version 2.0,2001,12,https://coverartarchive.org/release/df64bc7f-7e77-3cd6-86a3-dd4ffe163b4c/front-250
Holly Cole,Shade,2003,12,https://coverartarchive.org/release/eb0804f6-e9f9-4849-9531-5bfc72c51771/front-250
Vital Tech Tones,VTT2,2000,10,https://coverartarchive.org/release/1427d003-0afb-4b20-a781-fabc7dba88f1/front-250
Tribal Tech,Rocket Science,2000,10,https://coverartarchive.org/release/6595b0a3-de77-42da-81ea-ee0c6fb00e02/front-250
Reel Big Fish,Cheer Up!,2002,16,https://coverartarchive.org/release/afcfc82c-ca86-4280-84e2-29c1927fc0c8/front-250
Death in June,Operation Hummingbird,2000,7,https://coverartarchive.org/release/daf297cd-193a-4868-b398-aaf80c02876e/front-250
Garbage,beautifulgarbage,2002,14,https://coverartarchive.org/release/b6b8ba8b-74c7-4db5-a111-d233adb61428/front-250
ABBA,The Album,2001,10,https://coverartarchive.org/release/cd8b895d-ffc4-4a70-a603-58859353b42d/front-250
Chuck Negron,Joy to the World,2001,10,https://coverartarchive.org/release/d3992017-7780-42ea-ad7c-d6dade69248c/front-250
Shiloh Church,Octoh,2001,8,https://coverartarchive.org/release/67eaaf93-3009-443e-a842-783cf9823d1a/front-250
Giant Sand,Chore of Enchantment,2000,16,https://coverartarchive.org/release/219f2e98-092f-4761-98e6-a67398f40120/front-250
Robert Fox and David Wright,Blue,2000,37,https://coverartarchive.org/release/9adc306d-beec-480e-8e24-c46a7dc66f9c/front-250
The Decemberists,Castaways and Cutouts,2003,10,https://coverartarchive.org/release/6e9866fd-56b2-4a4e-86e4-718d57e7910b/front-250
