Title,Artist,Album,Genre,AlbumArtUrl,Lyrics
"In the End","Linkin Park","Hybrid Theory","rock","https://i.scdn.co/image/ab67616d0000b2736741ca6e9ba6fdc166037321","Lyrics not implemented yet"
"Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","rock","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","Lyrics not implemented yet"
"Mr. Brightside","The Killers","Hot Fuss","rock","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","Lyrics not implemented yet"
"Creep","Radiohead","Pablo Honey","rock","https://i.scdn.co/image/ab67616d0000b273ec548c00d3ac2f10be73366d","Lyrics not implemented yet"
"Iris","The Goo Goo Dolls","Dizzy up the Girl","rock","https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca","Lyrics not implemented yet"
"Feel Good Inc.","Gorillaz","Demon Days","rock","https://i.scdn.co/image/ab67616d0000b273622aefd794f6fe4d8e714358","Lyrics not implemented yet"
"Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","rock","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","Lyrics not implemented yet"
"Landslide","Fleetwood Mac","Fleetwood Mac","rock","https://i.scdn.co/image/ab67616d0000b2734fb043195e8d07e72edc7226","Lyrics not implemented yet"
"The Chain - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","rock","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","Lyrics not implemented yet"
"Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","rock","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","Lyrics not implemented yet"
